¹;Component;Name;Quantity;Footprint
1;J4,J5,J6,J7;PinHeader_1x02_P2.54mm_Vertical;4;Conn_01x02_Male
2;D1,D2,D3,D4;LED_Cree-XHP70_12V;4;LED_Cree_XHP70_12V
